sample,variable,n,mean,sd,min,q1,median,q3,max
full,gold_close,2510,1927.18677098249,813.3503240433272,1127.800048828125,1314.550048828125,1779.8999633789062,1989.7000122070312,5318.39990234375
full,gold_log_return,2510,5.263756956356027e-4,0.010371044107191418,-0.1206569177115746,-0.004131450996526672,6.886110879231744e-4,0.005848270102755122,0.05905437776175937
full,usd_broad_index_lag1,2510,117.26478243027888,4.864078216631703,106.4877,113.55160000000001,116.727,120.88965,130.0413
full,sp500_index_lag1,2510,3897.8736374501964,1343.7769627969365,2000.54,2750.915,3821.585,4611.5975,6978.6
full,wti_price_lag1,2510,64.83013545816732,17.317393718767804,-36.98,52.4325,64.285,75.25500000000001,123.64
full,treasury_10y_yield_lag1,2510,2.755366533864542,1.1917465626487187,0.52,1.74,2.69,3.9975,4.98
train,gold_close,2008,1590.2407362736637,293.4109845449834,1127.800048828125,1288.9000244140625,1646.2999877929688,1848.2749938964844,2325.699951171875
train,gold_log_return,2008,3.121989885509963e-4,0.009053341404456365,-0.05106938372025738,-0.00394669228342303,4.6077574856306924e-4,0.004933833881379798,0.05777508425392419
train,usd_broad_index_lag1,2008,115.927296812749,4.299088851761048,106.4877,112.83869999999999,115.48079999999999,119.1306,128.4539
train,sp500_index_lag1,2008,3359.3460507968134,853.4106904636243,2000.54,2659.845,3133.08,4145.74,5254.35
train,wti_price_lag1,2008,63.42803286852589,18.544200601511346,-36.98,49.875,61.48,75.0725,123.64
train,treasury_10y_yield_lag1,2008,2.3806025896414345,1.0299357739629,0.52,1.6,2.34,2.98,4.98
holdout,gold_close,502,3274.9709098177636,832.4152301204309,2291.39990234375,2615.4500122070312,3107.949951171875,3877.4750366210938,5318.39990234375
holdout,gold_log_return,502,0.0013830825239740702,0.014470297411492224,-0.1206569177115746,-0.004996450740559542,0.00249787500915887,0.009141630203503,0.05905437776175937
holdout,usd_broad_index_lag1,502,122.6147249003984,2.9320780775980753,117.4396,120.44827500000001,121.8928,124.205725,130.0413
holdout,sp500_index_lag1,502,6051.983984063745,560.0738953936889,4967.23,5607.245,5982.985000000001,6602.33,6978.6
holdout,wti_price_lag1,502,70.43854581673307,9.211403398600506,55.44,63.372499999999995,69.00999999999999,75.79499999999999,104.69
holdout,treasury_10y_yield_lag1,502,4.254422310756972,0.22056533455333746,3.63,4.13,4.26,4.41,4.79
