sample,variable,n,mean,sd,min,q1,median,q3,max
full,gold_close,2510,1928.542,815.063,1127.8,1315.35,1780.35,1990.05,5318.4
full,gold_log_return,2510,0.001,0.01,-0.121,-0.004,0.001,0.006,0.059
full,usd_broad_index_lag1,2510,117.269,4.863,106.488,113.562,116.729,120.89,130.041
full,sp500_index_lag1,2510,3899.692,1344.36,2000.54,2751.47,3822.005,4618.898,6978.6
full,wti_price_lag1,2510,64.861,17.342,-36.98,52.442,64.33,75.26,123.64
full,treasury_10y_yield_lag1,2510,2.756,1.192,0.52,1.74,2.695,4,4.98
train,gold_close,2008,1590.776,293.783,1127.8,1288.975,1647.8,1848.975,2331.7
train,gold_log_return,2008,0,0.009,-0.051,-0.004,0,0.005,0.058
train,usd_broad_index_lag1,2008,115.933,4.299,106.488,112.843,115.482,119.142,128.454
train,sp500_index_lag1,2008,3360.918,853.9,2000.54,2662.128,3134.8,4146.382,5254.35
train,wti_price_lag1,2008,63.452,18.545,-36.98,49.895,61.485,75.122,123.64
train,treasury_10y_yield_lag1,2008,2.382,1.031,0.52,1.6,2.34,2.982,4.98
holdout,gold_close,502,3279.603,833.625,2291.4,2616.9,3120.85,3929.925,5318.4
holdout,gold_log_return,502,0.001,0.014,-0.121,-0.005,0.002,0.009,0.059
holdout,usd_broad_index_lag1,502,122.614,2.933,117.44,120.448,121.893,124.206,130.041
holdout,sp500_index_lag1,502,6054.788,559.345,4967.23,5609.15,5983.62,6604.288,6978.6
holdout,wti_price_lag1,502,70.499,9.42,55.44,63.372,69.01,75.795,114.01
holdout,treasury_10y_yield_lag1,502,4.254,0.221,3.63,4.13,4.26,4.41,4.79
